序号_C,提交时间_C,答题时长_C,问卷来源_C,来源详情_C,问卷总分_C,性别_1_1_C,年龄_1_2_C,与老人居住关系_1_3_C,老人年龄_1_4_C,老人健康状况_1_5_C,居住行政区_1_6_C,为老人装过扶手_1_7_C,扶手安装场景_卫生间_2_1_1_C,扶手安装场景_床边_2_1_2_C,扶手安装场景_楼道_2_1_3_C,扶手安装场景_阳台_2_1_4_C,扶手安装场景_其他_2_1_5_C,扶手偏好类型_基础不锈钢_2_2_1_C,扶手偏好类型_可折叠_2_2_2_C,扶手偏好类型_防滑_2_2_3_C,扶手偏好类型_智能预警_2_2_4_C,扶手偏好类型_其他_2_2_5_C,可接受价格_2_3_C,服务期望_免费安装_2_4_1_C,服务期望_24小时售后_2_4_2_C,服务期望_定期维护_2_4_3_C,服务期望_上门教学_2_4_4_C,服务期望_其他_2_4_5_C,照护价值_3_1_1_C,照护价值_3_1_2_C,照护价值_3_1_3_C,照护价值_3_1_4_C,代际责任_3_2_1_C,代际责任_3_2_2_C,代际责任_3_2_3_C,代际责任_3_2_4_C,决策便利_3_3_1_C,决策便利_3_3_2_C,决策便利_3_3_3_C,决策便利_3_3_4_C,资源投入_3_4_1_C,资源投入_3_4_2_C,资源投入_3_4_3_C,资源投入_3_4_4_C,认知偏差_3_5_1_C,认知偏差_3_5_2_C,认知偏差_3_5_3_C,认知偏差_3_5_4_C,购买意愿_3_6_1_C,购买意愿_3_6_2_C,购买意愿_3_6_3_C,扶手相关问题反馈_4_1_C,外部支持需求_4_2_C
1,2026-02-23T08:41:44Z,206,微信,,62,2,3,1,2,3,1,1,1,0,1,0,0,0,0,0,0,1,2,1,0,0,1,0,1,1,2,1,4,4,5,4,1,2,2,3,3,3,2,3,4,3,3,4,3,2,2,售后电话永远占线，报修三次才有人回，拖了半个月才处理。,宣传时多用真实故事，比如“李伯装了扶手后敢自己洗澡了”，比数据打动人。
2,2026-02-23T08:43:08Z,264,微信,,71,2,4,2,3,2,5,2,1,0,1,1,1,0,1,0,0,0,3,1,0,1,0,1,4,3,2,4,2,2,4,4,1,2,2,3,4,4,3,4,4,3,2,3,4,4,3,,
3,2026-02-23T08:45:29Z,224,微信,,76,2,2,3,3,2,3,1,1,1,1,1,0,0,1,0,0,0,2,0,0,1,1,1,3,2,3,2,3,3,4,4,3,4,4,4,3,4,4,3,4,3,3,4,3,3,3,社区推荐的供应商只做工程单，不接散户，我们个人根本买不到。,多和子女沟通渠道，比如在政务APP里设个“为父母申请”入口，信息更直达。
4,2026-02-23T08:48:47Z,251,微信,,60,2,1,1,2,2,2,2,1,0,1,0,1,0,0,0,1,0,3,1,0,0,0,0,1,2,1,1,2,3,3,3,3,4,3,3,3,3,2,2,1,2,1,2,5,5,5,想装L型转角扶手，结果要拼接，接口处明显松动，安全隐患大。,安装师傅态度要耐心，多解释几句怎么用、怎么保养，老人记性差但愿意听。
5,2026-02-23T08:51:05Z,218,微信,,83,2,1,1,2,2,5,1,1,1,1,1,0,1,0,0,0,0,2,1,1,1,1,0,5,4,5,5,3,2,2,1,4,5,4,5,4,3,4,3,3,3,5,4,3,4,2,安装后没人教怎么检查松动，等发现晃了已经晚了。,材料别有刺鼻味，老人呼吸道敏感，环保检测报告能不能公开查？
6,2026-02-23T08:52:29Z,243,微信,,67,2,4,2,4,3,4,2,1,1,1,0,0,0,0,1,0,0,3,1,0,1,0,0,5,4,4,4,1,2,3,2,2,2,2,2,3,3,5,2,4,5,5,4,1,1,1,,
7,2026-02-23T08:54:18Z,230,微信,,106,2,3,3,3,1,5,2,1,0,1,1,1,0,1,0,0,0,2,1,0,1,1,0,5,5,4,5,4,5,3,5,4,4,3,4,5,5,5,5,5,5,5,5,5,5,5,没有试用期，装上去不合适也不能退，风险全在消费者身上。,价格别虚高，政府集采压一压成本，百来块我们愿意掏，上千真犹豫。
8,2026-02-23T08:55:00Z,197,微信,,103,2,2,3,1,1,3,1,1,0,1,0,0,0,0,1,0,0,2,0,1,0,1,0,4,5,5,4,4,5,5,5,4,4,3,4,5,5,5,5,4,4,4,4,5,5,5,,
9,2026-02-23T08:56:45Z,313,微信,,89,2,1,2,2,1,1,2,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,3,5,5,4,4,5,3,4,3,4,3,3,4,3,3,4,4,5,5,5,3,3,4,,
10,2026-02-23T08:58:40Z,247,微信,,110,1,4,2,3,2,6,2,1,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,5,4,5,5,4,5,5,5,5,5,3,5,5,5,5,5,5,5,4,5,5,5,5,说明书字小如蚁，还全是专业术语，老人看了直摇头。,多办几场防跌倒讲座，现场演示扶手怎么救急，比发传单有效。
11,2026-02-23T09:00:15Z,312,微信,,74,1,3,3,4,3,5,1,0,0,1,1,0,0,0,1,0,0,1,1,1,1,1,0,3,4,4,5,4,3,3,4,2,4,4,2,2,4,2,3,2,1,2,2,5,4,5,高端款功能多但操作复杂，基础款又太简陋，中间档选择太少。,高层住户搬运难，社区能不能协调电梯优先送货，或者帮忙搬上楼？
12,2026-02-23T09:01:38Z,226,微信,,91,2,1,2,2,1,3,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,4,4,4,4,5,3,3,4,4,3,4,3,4,4,5,4,5,3,4,4,4,4,5,想给老人装个带夜灯的，结果市面上不是太贵就是电池不耐用。,安装完没人回访，不知道牢不牢，隔一两个月派人上门检查下才安心。
13,2026-02-23T09:02:34Z,233,微信,,57,1,4,2,4,3,1,2,0,0,1,0,1,0,0,1,0,0,3,1,1,1,0,0,2,3,3,4,4,3,3,3,1,1,1,2,1,2,2,1,4,4,4,5,1,1,2,,
14,2026-02-23T09:04:24Z,248,微信,,90,2,3,3,4,3,5,1,1,1,1,0,0,0,0,0,1,0,3,1,0,1,0,1,2,3,3,2,4,4,4,4,4,5,5,4,4,4,4,4,4,5,4,5,4,4,4,,
15,2026-02-23T09:06:43Z,319,微信,,103,1,5,2,4,1,2,1,1,1,0,0,1,0,0,1,0,0,2,1,1,0,1,0,4,4,5,4,4,5,5,5,4,3,3,2,5,5,5,5,5,5,5,5,5,5,5,,
16,2026-02-23T09:07:27Z,275,微信,,60,2,3,3,3,2,4,1,1,0,0,1,0,0,1,0,0,0,3,1,0,0,0,0,2,2,3,3,4,4,5,5,1,2,1,1,2,2,2,3,3,5,3,4,1,1,1,,
17,2026-02-23T09:08:35Z,327,微信,,90,2,4,2,3,1,4,1,1,1,1,1,0,0,0,0,1,0,4,1,1,1,0,0,5,3,3,3,4,5,4,5,5,4,3,3,3,4,3,2,5,4,4,5,5,4,4,,
18,2026-02-23T09:09:07Z,257,微信,,76,2,4,2,4,2,2,2,1,0,1,1,0,0,1,0,0,0,3,1,0,1,1,0,3,3,4,3,4,5,5,3,3,2,2,2,4,3,3,4,3,3,2,3,4,5,3,,
19,2026-02-23T09:11:27Z,298,微信,,97,1,1,2,4,1,5,2,1,1,0,1,1,1,0,0,0,0,2,0,0,1,1,0,5,5,4,4,5,4,4,4,4,2,4,3,5,4,4,4,4,5,4,5,4,5,5,,
20,2026-02-23T09:13:46Z,262,微信,,98,2,5,2,4,2,3,2,1,0,1,0,0,0,0,0,1,0,5,1,1,1,0,0,5,4,3,4,4,5,4,4,4,4,3,5,4,4,5,3,5,4,5,5,5,4,5,,
21,2026-02-23T09:14:07Z,246,微信,,81,1,2,2,1,2,4,2,1,1,1,0,1,0,0,1,0,0,2,0,1,0,0,0,4,4,2,3,4,3,4,2,3,3,4,3,5,5,5,4,3,2,3,2,4,4,5,实体店几乎看不到样品，只能对着手机图片猜手感，太不靠谱了。,老人总觉得“没摔过就不需要”，得请医生或社工上门讲讲风险，他们更信权威。
22,2026-02-23T09:15:30Z,187,微信,,56,1,2,2,1,2,5,2,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,2,3,3,1,3,3,4,3,1,1,1,2,3,4,3,3,3,4,3,3,1,1,1,,
23,2026-02-23T09:16:29Z,323,微信,,89,2,4,2,4,2,2,2,1,0,1,0,0,0,1,0,0,0,2,0,1,1,0,0,3,5,4,3,3,3,2,4,4,5,4,3,4,4,4,4,5,5,5,5,4,3,3,,
24,2026-02-23T09:16:55Z,281,微信,,71,1,3,2,2,1,3,2,1,0,1,0,0,1,0,0,0,0,3,1,0,0,0,0,4,5,4,3,2,3,2,2,3,2,3,2,5,3,3,3,2,2,2,2,4,5,5,,
25,2026-02-23T09:18:36Z,232,微信,,66,2,4,3,3,1,1,1,1,0,1,1,0,0,0,0,1,0,5,0,1,0,0,0,1,2,3,2,4,5,4,3,2,3,3,3,3,3,3,2,2,3,2,4,4,2,3,,
26,2026-02-23T09:19:23Z,259,微信,,109,2,1,2,1,1,5,2,0,1,1,1,0,0,0,1,0,0,2,1,1,1,0,1,5,5,4,5,4,3,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,价格差得离谱，同样不锈钢扶手，从三十到三百都有，不知道信哪个。,安装时间灵活点，别只周末来，很多老人白天在家，工作日反而方便。
27,2026-02-23T09:21:16Z,345,微信,,82,2,1,3,3,1,3,1,1,1,0,0,0,0,0,1,0,0,3,1,1,1,1,0,4,5,5,5,2,3,3,2,5,4,4,5,4,4,3,5,1,3,3,2,3,3,4,,
28,2026-02-23T09:22:59Z,327,微信,,99,1,3,2,3,2,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,4,5,5,4,4,5,5,4,2,4,3,2,5,5,5,5,4,4,5,4,5,5,5,,
29,2026-02-23T09:25:23Z,313,微信,,79,2,4,2,4,3,3,1,1,0,0,0,1,0,1,0,0,0,5,1,0,0,1,0,3,3,3,4,5,5,4,5,3,3,4,3,2,5,4,3,3,2,2,2,3,5,3,扶手看着结实，一装上墙就晃，根本不敢让爸妈使劲靠。,社区能不能组织一次体验日，让爸妈亲手试试不同扶手，比光看宣传有用多了。
30,2026-02-23T09:26:42Z,346,微信,,53,2,3,1,4,3,5,2,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,2,2,2,1,2,1,4,3,2,3,2,2,2,2,5,5,4,4,1,1,1,安装时师傅图快，没测水平，现在扶手歪着，看着就心慌。,别搞“一刀切”，有人需要马桶旁的，有人要淋浴间的，得按实际需求配。
31,2026-02-23T09:28:19Z,326,微信,,79,2,1,1,3,2,1,2,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,4,3,2,4,4,5,4,3,4,4,2,4,3,3,4,4,1,1,3,2,5,5,5,,
32,2026-02-23T09:29:53Z,344,微信,,71,1,3,2,3,2,3,1,1,1,0,0,1,0,1,0,0,0,3,0,0,0,1,0,3,4,3,5,4,5,5,4,2,2,1,2,2,2,3,2,4,4,4,2,3,3,2,,
33,2026-02-23T09:31:33Z,305,微信,,88,2,4,2,4,2,4,1,1,1,1,0,0,0,1,0,0,0,2,1,0,1,1,1,5,5,4,4,5,4,5,5,4,3,3,5,3,3,2,2,4,3,4,4,3,4,4,,
34,2026-02-23T09:32:20Z,255,微信,,95,1,2,3,2,1,1,2,0,1,1,1,1,1,0,0,0,0,3,1,0,0,0,0,5,5,5,5,3,3,2,4,3,4,5,2,5,4,5,5,4,4,4,4,5,4,5,扶手边缘没倒角，我妈胳膊蹭红了一大块，设计太粗糙了。,补贴到账太慢，装的时候就要能用，不然我们现金流紧张真不敢动。
35,2026-02-23T09:33:24Z,266,微信,,96,1,3,1,3,2,4,2,1,1,1,1,0,0,0,1,0,0,3,1,1,1,0,1,5,5,4,5,4,4,3,4,4,5,4,3,5,4,5,5,4,4,4,4,4,3,4,电商平台刷好评太多，真实评价被淹没，根本看不出问题。,别把好事办成形式主义，装了不用等于白装，后续得跟踪使用情况。
36,2026-02-23T09:34:07Z,221,微信,,106,2,3,3,3,3,4,2,1,0,1,1,1,1,0,0,0,0,2,1,0,1,0,0,5,5,5,5,5,5,4,5,5,5,5,5,3,2,3,5,4,5,5,5,5,5,5,清洁起来特别麻烦，缝隙积灰发霉，又不敢用水冲怕生锈。,希望和居家养老补贴打通，装扶手能直接抵扣，别让我们跑多个部门。
37,2026-02-23T09:34:35Z,212,微信,,93,1,2,2,2,1,5,2,1,0,1,1,1,0,1,0,0,0,2,1,1,1,0,0,5,4,3,5,4,5,4,3,4,4,4,5,4,5,4,4,4,4,2,2,5,5,4,有些设计花里胡哨，带蓝牙还能连APP，可老人连微信都用不利索。,别等出事才行动，定期给高龄家庭做居家安全评估，主动推送适老化改造。
38,2026-02-23T09:36:13Z,335,微信,,65,1,5,2,4,2,5,2,1,0,1,1,1,0,0,0,1,0,5,1,1,0,1,0,2,3,3,4,2,2,2,1,3,5,4,4,2,2,3,2,4,5,4,4,1,1,2,,
39,2026-02-23T09:36:43Z,329,微信,,92,1,1,2,3,1,2,2,1,0,1,1,0,0,1,0,0,0,3,1,1,0,1,0,4,5,4,3,5,4,5,5,3,3,2,3,4,4,4,3,4,5,4,4,4,5,5,,
40,2026-02-23T09:37:38Z,245,微信,,106,2,3,1,3,3,6,2,1,1,0,1,0,1,0,0,0,0,5,1,1,1,1,0,5,4,5,4,4,4,4,4,4,4,5,5,5,5,5,5,4,5,5,5,5,5,5,安装师傅上门收八十块人工费，结果十分钟就完事，感觉被宰了。,别光发纸质通知，我妈老花眼根本看不清，微信群里发个语音或者短视频多好。
41,2026-02-23T09:38:13Z,343,微信,,106,1,2,3,3,2,5,1,1,0,0,1,0,0,1,0,0,0,5,1,0,0,0,0,5,5,5,5,5,5,5,5,5,4,5,4,4,4,4,4,5,4,3,5,5,5,5,,
42,2026-02-23T09:38:16Z,291,微信,,74,2,2,2,3,3,4,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,4,3,4,3,5,4,5,5,3,3,5,3,2,3,4,2,1,2,1,2,4,3,3,浴室用的防霉胶味道刺鼻，装完一周还有味，对老人呼吸道不好。,别光给硬件，同步教平衡训练操，软硬结合才能真正防摔。
43,2026-02-23T09:38:26Z,268,微信,,78,2,4,3,4,3,2,2,1,1,0,1,0,0,0,1,0,0,3,0,0,1,0,0,2,3,1,2,5,3,5,5,1,2,2,1,5,5,5,5,4,2,5,3,5,5,2,老人说扶手太凉，冬天不敢碰，但带温感的款式压根找不到。,独居老人优先安排免费安装，他们摔倒了可能好几天都没人知道。
44,2026-02-23T09:38:49Z,268,微信,,98,2,2,2,4,3,4,1,1,1,0,0,0,1,0,0,0,0,3,1,0,1,0,1,5,5,5,4,5,5,5,4,4,2,2,3,4,5,3,4,5,5,5,4,4,5,5,,
45,2026-02-23T09:39:58Z,220,微信,,72,1,2,2,1,1,1,2,1,1,0,0,0,0,0,0,0,1,3,1,1,1,0,1,1,1,2,1,3,2,3,2,5,4,4,5,3,4,3,3,4,5,5,5,2,2,3,,
46,2026-02-23T09:40:33Z,244,微信,,94,1,5,1,4,3,5,2,1,1,1,1,0,0,1,0,0,0,2,1,0,1,1,0,3,4,3,4,5,5,5,2,4,3,4,2,5,4,5,5,5,4,5,5,4,4,4,,
47,2026-02-23T09:41:09Z,306,微信,,106,2,2,2,1,1,3,1,1,1,1,0,1,1,0,0,0,0,2,1,0,1,0,0,5,4,5,3,5,4,4,5,5,4,5,5,5,3,4,5,5,5,5,5,5,5,5,同一款产品在不同平台价格差一倍，促销套路太深。,售后要有保障，装完给张保修卡，电话一打就有人上门，别石沉大海。
48,2026-02-23T09:42:36Z,310,微信,,92,2,2,2,2,1,4,1,1,0,0,0,0,0,1,0,0,0,3,0,0,1,1,0,4,4,4,5,5,5,5,4,5,5,4,5,4,5,5,4,3,2,3,3,3,2,3,网上买回来发现尺寸不对，退货又麻烦，商家还说“已拆封不退”。,补贴申请太麻烦了，要是能像医保一样直接刷卡抵扣，我们就不用垫那么多钱。
49,2026-02-23T09:42:49Z,266,微信,,97,2,3,2,3,2,3,1,1,0,1,0,0,0,1,0,0,0,2,1,0,1,1,0,5,4,5,4,4,5,3,4,5,4,4,4,4,5,5,5,2,4,4,5,4,4,4,,
50,2026-02-23T09:43:17Z,187,微信,,90,2,1,3,2,1,5,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,4,5,4,4,3,4,1,3,4,3,4,5,5,5,4,3,5,4,4,3,4,4,5,不同品牌配件不通用，想换个防滑套都配不上，太封闭了。,希望纳入家庭医生签约服务，体检时顺便问一句跌倒风险，联动起来更高效。
51,2026-02-23T09:43:44Z,196,微信,,96,1,3,1,2,1,5,2,1,0,1,1,0,1,0,0,0,0,2,1,1,1,1,0,5,4,4,4,5,5,5,5,3,2,2,2,5,4,5,5,5,4,5,3,4,5,5,产品说明写得像天书，什么“承重150kg”，实际我爸七十公斤一扶就松了。,希望街道办牵头，统一招标靠谱厂家，价格透明还包安装，省得我们到处比价。
52,2026-02-23T09:44:01Z,288,微信,,69,1,3,2,3,2,5,2,1,0,1,0,0,0,1,0,0,0,2,1,0,1,0,0,5,5,5,5,4,4,4,3,1,3,1,3,3,2,2,1,2,1,1,1,5,4,4,老人嫌颜色太医院风，惨白惨白的，能不能出点木纹或暖灰色？,公共区域比如楼道、公厕也该同步升级，不光家里安全，出门第一步也关键。
53,2026-02-23T09:44:53Z,217,微信,,104,1,1,2,4,2,4,2,1,0,1,1,0,0,0,1,0,0,2,1,0,1,1,0,3,5,4,3,4,5,5,5,5,4,5,4,5,5,5,5,3,5,5,4,5,5,5,没有适老化认证标志，光看参数也分不清哪个真适合老人用。,扶手旁边贴个紧急联系卡，万一摔倒还能顺手按呼叫器，安全感更强。
54,2026-02-23T09:45:47Z,292,微信,,88,2,1,1,2,3,4,1,1,0,1,0,0,0,0,0,0,1,4,1,1,0,1,1,5,5,5,4,4,3,3,5,4,3,4,5,4,4,5,4,2,2,2,3,4,5,3,,
55,2026-02-23T09:46:55Z,327,微信,,80,2,3,3,4,3,1,2,1,0,0,0,1,0,0,1,0,0,3,1,1,1,0,1,2,2,3,3,2,3,3,3,3,5,5,4,4,4,4,3,5,5,4,4,3,4,2,,
56,2026-02-23T09:47:08Z,227,微信,,90,2,5,2,4,2,5,1,1,1,0,1,0,0,1,0,0,0,3,1,1,1,1,0,4,5,4,4,4,2,4,2,4,4,3,4,4,5,5,5,4,4,4,3,4,3,5,安装服务不透明，事先不说清是否含打孔、补墙，事后加收费用。,最重要的是——让老人觉得这是“贴心照顾”，而不是“我老了不中用”的提醒。
57,2026-02-23T09:48:02Z,338,微信,,69,1,1,3,3,2,3,1,1,0,1,0,0,0,1,0,0,0,2,1,0,1,0,0,2,3,4,3,4,4,4,4,3,3,3,1,2,3,2,4,3,4,3,3,1,4,2,扶手直径太细，我爸手大握不住，粗一点会更稳当。,扶手设计别只考虑坐姿起身，站着洗碗、晾衣服也需要临时支撑点。
58,2026-02-23T09:48:38Z,269,微信,,86,2,2,1,4,2,1,2,1,1,1,1,0,0,1,0,0,0,2,1,0,0,1,0,5,4,5,4,3,5,3,4,3,5,4,4,3,2,4,3,3,3,3,3,3,5,5,,
59,2026-02-23T09:50:16Z,312,微信,,82,1,1,3,1,1,1,2,0,0,1,0,0,0,1,0,0,0,3,1,1,1,0,0,1,3,3,4,4,5,4,3,3,3,1,4,4,5,4,3,4,4,3,3,5,5,4,,
60,2026-02-23T09:51:41Z,253,微信,,93,1,3,2,3,2,5,1,1,0,1,1,1,0,0,1,0,0,4,0,0,1,0,0,5,4,4,5,2,3,3,3,3,3,2,2,5,5,5,5,5,5,4,5,5,5,5,,
61,2026-02-23T09:51:46Z,245,微信,,76,1,3,1,2,1,5,2,1,1,1,1,0,0,0,1,0,0,3,1,0,0,1,1,3,4,3,4,3,3,3,2,5,5,4,4,3,3,5,5,1,2,2,2,3,3,4,,
62,2026-02-23T09:52:16Z,300,微信,,78,1,2,3,3,2,3,1,1,1,1,0,0,0,1,0,0,0,2,1,1,1,0,0,4,4,4,4,3,1,4,2,4,3,4,4,3,2,3,3,3,3,4,4,5,4,3,,
63,2026-02-23T09:53:32Z,307,微信,,70,1,4,2,3,2,4,1,0,1,1,1,0,1,0,0,0,0,2,0,1,1,1,0,3,2,4,5,4,5,5,4,3,2,2,2,3,2,3,2,4,3,5,4,1,1,1,,
64,2026-02-23T09:54:31Z,344,微信,,75,1,2,2,3,2,4,2,1,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,3,1,3,3,2,2,1,1,5,4,3,4,5,5,5,4,3,4,4,4,3,4,2,,
65,2026-02-23T09:55:45Z,275,微信,,89,2,1,1,1,1,3,2,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,2,4,5,4,2,3,4,3,4,4,4,4,5,5,5,4,3,4,3,4,4,5,4,缺少针对不同身高、体重的选型指导，买的时候全靠猜。,安装前先试用样品，不合适当场换，别装完才发现高度不对。
66,2026-02-23T09:56:12Z,187,微信,,59,2,3,2,4,3,2,2,1,1,1,0,0,0,0,0,1,0,3,1,0,1,0,0,2,1,3,1,4,2,2,3,3,2,4,4,2,2,1,2,4,3,3,3,3,2,3,,
67,2026-02-23T09:57:50Z,309,微信,,70,1,4,2,4,2,1,2,1,1,1,1,0,0,0,1,0,0,5,1,0,1,1,0,2,3,4,3,2,1,1,1,3,3,2,3,5,4,5,4,2,4,4,4,4,3,3,,
68,2026-02-23T09:57:55Z,317,微信,,71,1,1,3,2,2,3,2,1,0,0,0,0,1,0,0,0,0,2,1,0,1,1,0,3,4,5,3,5,3,2,3,1,3,3,2,4,4,3,4,1,1,1,1,5,5,5,包装里没配膨胀螺丝，临时跑去五金店买，结果型号还不匹配。,社区活动室放个实物样板，让我们带爸妈去摸摸、试试高度再决定。
69,2026-02-23T09:58:24Z,291,微信,,75,1,3,3,3,2,6,2,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,3,2,3,2,3,3,2,2,4,4,4,3,4,5,4,4,4,2,4,3,4,3,3,,
70,2026-02-23T09:58:32Z,327,微信,,79,2,2,2,1,1,2,2,1,1,1,0,1,1,0,0,0,0,5,0,0,1,1,0,5,3,2,5,3,3,3,2,5,4,3,4,5,3,3,4,4,2,3,4,3,4,2,,
71,2026-02-23T09:59:07Z,294,微信,,74,2,5,2,4,3,4,1,1,0,1,0,0,0,1,0,0,0,3,1,0,1,1,1,4,3,3,5,3,4,4,4,4,3,3,3,2,2,2,3,3,3,5,2,3,3,3,材质摸着廉价，塑料感重，用俩月就发黄开裂，根本不耐潮。,农村老家也得覆盖到，别只盯着城市小区，乡镇卫生院周边老人更多。
72,2026-02-23T10:00:07Z,264,微信,,100,2,2,2,3,1,3,2,1,0,1,1,0,0,0,1,0,0,4,1,0,1,0,0,5,4,4,3,5,4,5,5,4,4,4,4,5,4,4,3,5,4,5,5,5,4,5,,
73,2026-02-23T10:00:23Z,206,微信,,75,1,1,2,3,1,4,1,1,0,1,1,1,1,0,0,0,0,2,1,0,1,0,0,4,4,5,3,4,4,5,4,3,4,4,4,2,4,5,4,2,1,1,2,2,2,2,安装孔位和家里瓷砖对不上，硬打孔差点把整面墙砸穿。,扶手样式太冰冷，像医院器械，要是能选木纹或暖色系，爸妈心理上更容易接受。
74,2026-02-23T10:01:00Z,190,微信,,107,1,3,2,3,2,5,2,1,1,1,0,0,0,0,0,1,0,4,1,0,0,0,0,5,4,5,5,4,3,5,5,5,5,4,4,5,5,5,5,4,5,5,4,5,5,5,,
75,2026-02-23T10:02:34Z,248,微信,,76,1,3,1,4,3,5,1,1,0,1,0,1,1,0,0,0,0,3,1,0,1,1,1,3,3,1,3,4,3,3,3,5,4,2,3,3,4,4,4,5,4,4,5,2,1,3,最大的问题是——产品设计根本没让老人参与测试，全是年轻人拍脑袋想的。,政策别只写在文件里，落实到居委会窗口，一个电话就能问清怎么办，才叫真支持。
76,2026-02-23T10:02:35Z,228,微信,,61,2,2,1,2,1,5,1,1,0,1,1,0,0,0,0,0,1,2,1,1,1,0,0,1,3,1,1,4,3,4,3,5,4,4,2,1,2,2,1,4,5,3,4,1,2,1,,
77,2026-02-23T10:02:47Z,212,微信,,65,2,4,3,4,3,6,1,1,0,1,1,0,0,0,1,0,0,3,1,1,1,1,0,4,3,4,4,1,3,3,4,2,1,2,2,2,2,3,2,2,5,3,3,3,4,3,淘宝详情页吹得天花乱坠，收到货才发现是薄铁皮喷漆，轻飘飘的。,老楼墙体薄，普通打孔不行，政府该提供免打孔或地面支撑的技术方案。
78,2026-02-23T10:03:38Z,311,微信,,62,1,1,1,2,2,2,2,1,0,1,1,0,1,0,0,0,0,2,0,0,1,0,0,2,3,3,2,4,5,5,5,1,2,2,2,1,1,1,1,5,4,5,4,2,1,1,,
